periodo;codigo;nome;turma;siape;horario;matricula;nota;situacao
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170000566;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170000566;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170000566;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170000566;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170000566;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170000566;-;EXCLUIDA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170000646;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170000646;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170000646;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170000646;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170000646;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170000646;-;EXCLUIDA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170000664;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170000664;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170000664;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170000664;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170000664;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170000664;-;EXCLUIDA
1;ECT2101;PRÉ-CÁLCULO;4;1753234-7;2356N12 (13/02/2017 - 24/04/2017);20170000726;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1879244-0;36N34 (13/02/2017 - 01/07/2017);20170000726;-;EXCLUIDA
1;ECT2103;CÁLCULO I;4;2196137-1;2356N12 (25/04/2017 - 01/07/2017);20170000726;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;05A;2276334-3;2T56  25N34 (13/02/2017 - 01/07/2017);20170000726;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3913659-2;4N34 (13/02/2017 - 01/07/2017);20170000726;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (13/02/2017 - 01/07/2017);20170000726;-;EXCLUIDA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170000744;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170000744;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170000744;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170000744;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170000744;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170000744;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;4;1753234-7;2356N12 (13/02/2017 - 24/04/2017);20170000824;-;CANCELADO
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1879244-0;36N34 (13/02/2017 - 01/07/2017);20170000824;-;CANCELADO
1;ECT2103;CÁLCULO I;4;2196137-1;2356N12 (25/04/2017 - 01/07/2017);20170000824;-;CANCELADO
1;ECT2104;QUÍMICA GERAL;05A;2276334-3;2T56  25N34 (13/02/2017 - 01/07/2017);20170000824;-;CANCELADO
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3913659-2;4N34 (13/02/2017 - 01/07/2017);20170000824;-;CANCELADO
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (13/02/2017 - 01/07/2017);20170000824;-;CANCELADO
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170000904;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170000904;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170000904;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170000904;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170000904;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170000904;7.00;APROVADO
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170000996;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170000996;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170000996;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170000996;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170000996;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170000996;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170001053;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170001053;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170001053;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170001053;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170001053;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170001053;-;EXCLUIDA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170001198;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170001198;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170001198;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170001198;2.20;REPROVADO
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170001198;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170001198;-;EXCLUIDA
1;ECT2101;PRÉ-CÁLCULO;4;1753234-7;2356N12 (13/02/2017 - 24/04/2017);20170001410;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1879244-0;36N34 (13/02/2017 - 01/07/2017);20170001410;-;EXCLUIDA
1;ECT2103;CÁLCULO I;4;2196137-1;2356N12 (25/04/2017 - 01/07/2017);20170001410;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;05A;2276334-3;2T56  25N34 (13/02/2017 - 01/07/2017);20170001410;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3913659-2;4N34 (13/02/2017 - 01/07/2017);20170001410;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (13/02/2017 - 01/07/2017);20170001410;-;EXCLUIDA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170001456;2.40;REPROVADO
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170001456;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170001456;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170001456;5.10;APROVADO POR NOTA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170001456;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170001456;6.70;APROVADO POR NOTA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170001536;5.90;APROVADO POR NOTA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170001536;6.20;APROVADO POR NOTA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170001536;1.70;REPROVADO
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170001536;6.10;APROVADO POR NOTA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170001536;5.00;APROVADO POR NOTA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170001536;5.50;APROVADO POR NOTA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170001616;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170001616;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170001616;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170001616;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170001616;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170001616;-;EXCLUIDA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170001812;-;TRANCADO
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2565098-1;36M56 (13/02/2017 - 01/07/2017);20170001812;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;2571630-3;2356M34 (25/04/2017 - 01/07/2017);20170001812;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;02A;3432383-1;2M1256 5M56 (13/02/2017 - 01/07/2017);20170001812;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M12 (13/02/2017 - 01/07/2017);20170001812;5.70;APROVADO POR NOTA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (13/02/2017 - 01/07/2017);20170001812;5.00;APROVADO POR NOTA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (13/02/2017 - 24/04/2017);20170002014;-;CANCELADO
