UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE
SISTEMA INTEGRADO DE GESTÃO DE ATIVIDADES ACADÊMICAS
RELATÓRIO DE NOTAS SEMESTRAIS
CURSO;CIÊNCIAS E TECNOLOGIA/ECT - NATAL - BACHARELADO
ANO;2016

Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação;
1;ECT2101;PRÉ-CÁLCULO;04;2111020-6,1753234-7;2356N12 (01/02/2016 - 12/04/2016);20160000624;-;DESISTENCIA;
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;04;2276754-3;36N34 (01/02/2016 - 18/06/2016);20160000624;-;DESISTENCIA;
1;ECT2103;CÁLCULO I;04;1753234-7;2356N12 (13/04/2016 - 18/06/2016);20160000624;-;DESISTENCIA;
1;ECT2104;QUÍMICA GERAL;05A;2276334-3;7T12  25N34 (01/02/2016 - 18/06/2016);20160000624;-;DESISTENCIA;
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1746024-9;4N34 (01/02/2016 - 18/06/2016);20160000624;-;DESISTENCIA;
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1753033-6;4N12 (01/02/2016 - 18/06/2016);20160000624;6.30;APROVADO POR NOTA;
1;ECT2101;PRÉ-CÁLCULO;04;2111020-6,1753234-7;2356N12 (01/02/2016 - 12/04/2016);20160000849;-;CANCELADO;
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;04;2276754-3;36N34 (01/02/2016 - 18/06/2016);20160000849;-;CANCELADO;
1;ECT2103;CÁLCULO I;04;1753234-7;2356N12 (13/04/2016 - 18/06/2016);20160000849;-;CANCELADO;
1;ECT2104;QUÍMICA GERAL;05A;2276334-3;7T12  25N34 (01/02/2016 - 18/06/2016);20160000849;-;CANCELADO;
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1746024-9;4N34 (01/02/2016 - 18/06/2016);20160000849;-;CANCELADO;
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1753033-6;4N12 (01/02/2016 - 18/06/2016);20160000849;-;CANCELADO;
1;ECT2101;PRÉ-CÁLCULO;04;2111020-6,1753234-7;2356N12 (01/02/2016 - 12/04/2016);20160001087;9.70;APROVADO;
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;04;2276754-3;36N34 (01/02/2016 - 18/06/2016);20160001087;0.00;REPROVADO;
1;ECT2103;CÁLCULO I;04;1753234-7;2356N12 (13/04/2016 - 18/06/2016);20160001087;0.00;REPROVADO POR MÉDIA E POR FALTAS;
1;ECT2104;QUÍMICA GERAL;05A;2276334-3;7T12  25N34 (01/02/2016 - 18/06/2016);20160001087;-;TRANCADO;
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1746024-9;4N34 (01/02/2016 - 18/06/2016);20160001087;-;TRANCADO;
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1753033-6;4N12 (01/02/2016 - 18/06/2016);20160001087;-;TRANCADO;
1;ECT2101;PRÉ-CÁLCULO;01;1508148-8;2356M56 (01/02/2016 - 12/04/2016);20160000983;-;EXCLUIDA;
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;2565098-1;36M34 (01/02/2016 - 18/06/2016);20160000983;-;EXCLUIDA;
1;ECT2103;CÁLCULO I;01;2196137-1;2356M56 (13/04/2016 - 18/06/2016);20160000983;-;EXCLUIDA;
1;ECT2104;QUÍMICA GERAL;01A;1523912-0;25M34  2T12 (01/02/2016 - 18/06/2016);20160000983;6.70;APROVADO POR NOTA;
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1673239-3,1746024-9;4M56 (01/02/2016 - 18/06/2016);20160000983;8.00;APROVADO;
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1753033-6;4M34 (01/02/2016 - 18/06/2016);20160000983;8.00;APROVADO;
1;ECT2101;PRÉ-CÁLCULO;04;2111020-6,1753234-7;2356N12 (01/02/2016 - 12/04/2016);20160001167;5.40;APROVADO POR NOTA;
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;04;2276754-3;36N34 (01/02/2016 - 18/06/2016);20160001167;0.00;REPROVADO;
1;ECT2103;CÁLCULO I;04;1753234-7;2356N12 (13/04/2016 - 18/06/2016);20160001167;0.00;REPROVADO;
1;ECT2104;QUÍMICA GERAL;05A;2276334-3;7T12  25N34 (01/02/2016 - 18/06/2016);20160001167;0.00;REPROVADO POR MÉDIA E POR FALTAS;
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1746024-9;4N34 (01/02/2016 - 18/06/2016);20160001167;7.20;APROVADO;
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1753033-6;4N12 (01/02/2016 - 18/06/2016);20160001167;7.40;APROVADO;
1;ECT2101;PRÉ-CÁLCULO;01;1508148-8;2356M56 (01/02/2016 - 12/04/2016);20160001149;-;DESISTENCIA;
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;2565098-1;36M34 (01/02/2016 - 18/06/2016);20160001149;-;DESISTENCIA;
1;ECT2103;CÁLCULO I;01;2196137-1;2356M56 (13/04/2016 - 18/06/2016);20160001149;-;DESISTENCIA;
1;ECT2104;QUÍMICA GERAL;01A;1523912-0;25M34  2T12 (01/02/2016 - 18/06/2016);20160001149;-;DESISTENCIA;
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1673239-3,1746024-9;4M56 (01/02/2016 - 18/06/2016);20160001149;-;DESISTENCIA;
