periodo;codigo;nome;turma;siape;horario;matricula;nota;situacao
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;5;1879244-0;36N34 (30/07/2018 - 15/12/2018);20180036615;5.00;APROVADO POR NOTA
2;ECT2207;PROBABILIDADE E ESTATÍSTICA;2;1894891-1;35M56 (30/07/2018 - 15/12/2018);20170043071;-;INDEFERIDO
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;02D;2459504-9,1763991-5,3193556-9;24M56  3T56 (30/07/2018 - 01/12/2018);20180033613;6.60;APROVADO POR NOTA
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;3;1673239-3;2M56 (30/07/2018 - 15/12/2018);2016016598;0.00;CANCELADO
2;ECT2303;LINGUAGEM DE PROGRAMAÇÃO;02C;4687943-1,3193556-9,1845280-1;5M34  46T12 (30/07/2018 - 22/12/2018);20170035632;0.70;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2414;ELETRICIDADE APLICADA;01B;1569480-3;3M34  24T34 (30/07/2018 - 16/09/2018),  24T34 (17/09/2018 - 01/12/2018);2013066658;-;INDEFERIDO
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;03C;1943220-0,3193556-9,2459504-9;24M56  4T56 (30/07/2018 - 01/12/2018);20180031010;9.20;APROVADO
2;PRO1302;MATEMÁTICA FINANCEIRA;1;1777131-7;24T34;2013090457;7.00;APROVADO
2;ECT2103;CÁLCULO I;7;1091102-4;2356T34 (08/10/2018 - 15/12/2018);20180042990;1.40;CANCELADO
2;DCO1006;ANTENAS E PROPAGAÇÃO;1;1840342-7;246N12;20180001128;5.30;APROVADO POR NOTA
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;03A;1943220-0,3193556-9,2459504-9;24M56  4T34 (30/07/2018 - 01/12/2018);20180031510;-;INDEFERIDO
2;ECT2103;CÁLCULO I;3;1672787-0;2356T34 (08/10/2018 - 15/12/2018);20180039733;-;INDEFERIDO
2;ECT2304;INTRODUÇÃO À FÍSICA CLÁSSICA II;1;1718474-8;46T34 (30/07/2018 - 22/12/2018);2016011410;-;CANCELADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;5;1879244-0;36N34 (30/07/2018 - 15/12/2018);20170139379;-;CANCELADO
2;ECT2401;COMPUTAÇÃO NUMÉRICA;02C;1671947-8;24M34 6M56 (30/07/2018 - 01/12/2018);2016017497;5.00;APROVADO POR NOTA
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;3;1753123-5;24M34 (30/07/2018 - 15/12/2018);20180108527;5.30;APROVADO POR NOTA
2;DEF0071;METODOLOGIA DA NATACAO;1;1075907-9,3065518-0;35T56;2015082383;8.20;APROVADO
2;ECT2416;EXPRESSÃO GRÁFICA;03B;2321426-2;2N1234 (30/07/2018 - 03/11/2018),  7T1234 (04/11/2018 - 22/12/2018);2015012290;6.30;APROVADO POR NOTA
2;ECT2202;ÁLGEBRA LINEAR;4;2565098-1;46N34 (30/07/2018 - 22/12/2018);20170138059;-;INDEFERIDO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;3;1808127-6;46M12 (30/07/2018 - 22/12/2018);20170138907;-;INDEFERIDO
2;ECT2104;QUÍMICA GERAL;03E;3432383-1;6M56  25T12 (30/07/2018 - 22/12/2018);20180088095;-;INDEFERIDO
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;1;2410576-9;46M56 (30/07/2018 - 22/12/2018);2016018592;2.10;REPROVADO
2;ECT2302;METODOLOGIA CIENTÍFICA E TECNOLÓGICA;5;3242299-9;2N12 (30/07/2018 - 15/12/2018);2016016355;6.20;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;7;3550015-0;2356T34 (30/07/2018 - 05/10/2018);20180037677;1.70;REPROVADO
2;ECT2401;COMPUTAÇÃO NUMÉRICA;01C;4523538-6,3051115-3;2M56  24T12 (30/07/2018 - 01/12/2018);2015093117;2.70;REPROVADO
2;ECT2104;QUÍMICA GERAL;03C;3432383-1;6M12  25T12 (30/07/2018 - 22/12/2018);20180037372;-;INDEFERIDO
2;ECT2306;MEIO AMBIENTE E DESENVOLVIMENTO URBANO;1;1615358-0,1674419-7;46T56 (30/07/2018 - 22/12/2018);2016011410;-;CANCELADO
2;ADM0523;EMPREENDEDORISMO E PLANO DE NEGÓCIOS;3;2949493-3,1750458-1;24T12;20150125572;7.90;APROVADO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;1;2913810-0;46M34 (30/07/2018 - 22/12/2018);20160143331;4.10;REPROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1051570-6;4T12 (30/07/2018 - 15/12/2018);20180109560;-;INDEFERIDO
2;FPE0087;LÍNGUA BRASILEIRA DE SINAIS - LIBRAS;9;1891306-9;3M3456 (30/07/2018 - 22/12/2018);2016013630;-;INDEFERIDO
2;DCO1014;COMUNICAÇÕES ÓPTICAS;1;3921178-1;35N34;2015017170;-;INDEFERIDO
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;2;2087054-1;2M34 (30/07/2018 - 15/12/2018);20180109364;1.80;REPROVADO
2;ECT2103;CÁLCULO I;4;2141197-4;2356N12 (08/10/2018 - 15/12/2018);20170116267;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;1;2410576-9;46M56 (30/07/2018 - 22/12/2018);20170031974;5.00;APROVADO POR NOTA
2;LET0568;LÍNGUA BRASILEIRA DE SINAIS - LIBRAS;4;3031226-6;4N1234;20150121798;9.30;APROVADO
2;ECT2202;ÁLGEBRA LINEAR;4;2565098-1;46N34 (30/07/2018 - 22/12/2018);20170037771;-;INDEFERIDO
2;ECT2103;CÁLCULO I;3;1672787-0;2356T34 (08/10/2018 - 15/12/2018);20180091690;-;INDEFERIDO
2;ECT2103;CÁLCULO I;2;1672787-0;2356T12 (08/10/2018 - 15/12/2018);20170138184;-;INDEFERIDO
2;ECT1550;POLÍTICAS DE GESTÃO EM CIÊNCIA, TECNOLOGIA E INOVAÇÃO;2;1753896-5;46M34 (30/07/2018 - 22/12/2018);20180148166;7.30;APROVADO
2;ECT2416;EXPRESSÃO GRÁFICA;03A;2321426-2;2N1234 (30/07/2018 - 03/11/2018),  2N1234 (04/11/2018 - 22/12/2018);20160141981;-;INDEFERIDO
2;ECT2401;COMPUTAÇÃO NUMÉRICA;02D;1671947-8;24M34 6M56 (30/07/2018 - 01/12/2018);20170044776;6.60;APROVADO POR NOTA
2;PSI0602;INTRODUCAO A PSICANALISE;1;2410769-9;24N12;20170032775;2.70;CANCELADO
2;ECT2301;CÁLCULO III;5;2583622-8;35N34 (30/07/2018 - 15/12/2018);2014096437;5.00;APROVADO POR NOTA
2;ECT2303;LINGUAGEM DE PROGRAMAÇÃO;05D;4687943-1,1170845-1;7T34  35N12 (30/07/2018 - 22/12/2018);20160106427;0.00;CANCELADO
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;03C;1943220-0,2459504-9,3193556-9;24M56  4T56 (30/07/2018 - 01/12/2018);20180031430;6.40;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;4;1508148-8;2356N12 (30/07/2018 - 05/10/2018);20170038071;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ICE1037;INTRODUÇÃO À NEUROCIÊNCIA;1;1728817-9;35M234 (30/07/2018 - 08/09/2018);20170003675;6.10;APROVADO POR NOTA
2;ECT2414;ELETRICIDADE APLICADA;02B;1658061-5,1807863-1;3T3456 5T56 (30/07/2018 - 16/09/2018),  35T56 (17/09/2018 - 01/12/2018);20180036698;5.00;APROVADO POR NOTA
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;05D;1312423-6;7T12  35N12 (30/07/2018 - 01/12/2018);20180036615;1.00;REPROVADO
2;MEC1608;MÁQUINAS DE FLUXO;1;349104-0;35T56 (30/07/2018 - 15/12/2018);2016012418;8.50;APROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (30/07/2018 - 15/12/2018);20170116820;3.00;REPROVADO
2;ECT1564;GESTÃO ESTRATÉGICA;1;2410576-9;46T34 (30/07/2018 - 22/12/2018);20180148166;-;INDEFERIDO
2;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356T12 (30/07/2018 - 05/10/2018);20180035690;-;INDEFERIDO
2;ADM0504;ORGANIZACAO E PROCESSOS;1;1295383-2;35T56;2016013596;7.30;APROVADO
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (30/07/2018 - 22/12/2018);20180034719;-;INDEFERIDO
2;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356T12 (30/07/2018 - 05/10/2018);20180134957;6.50;APROVADO POR NOTA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (30/07/2018 - 15/12/2018);20180042096;7.70;APROVADO
2;ECT2103;CÁLCULO I;6;6350665-5;2356N34 (08/10/2018 - 15/12/2018);20170101470;2.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT1553;EMPREENDEDORISMO, NEGÓCIOS E GESTÃO DE PROJETOS INOVADORES;1;1753067-1;5N1234 (30/07/2018 - 15/12/2018);2013047053;7.90;APROVADO
2;ECT2207;PROBABILIDADE E ESTATÍSTICA;2;1894891-1;35M56 (30/07/2018 - 15/12/2018);20150131794;-;INDEFERIDO
2;ECT2103;CÁLCULO I;1;1091102-4;2356T12 (08/10/2018 - 15/12/2018);20180038816;-;INDEFERIDO
2;ECT2411;CIÊNCIA E TECNOLOGIA DOS MATERIAIS;03A;1718775-5,3057895-9;35N12 (30/07/2018 - 09/09/2018),  3T56  35N12 (10/09/2018 - 27/10/2018),  35N12 (28/10/2018 - 01/12/2018);20170034072;4.50;REPROVADO
2;ECT2103;CÁLCULO I;8;2565098-1;46T56 (30/07/2018 - 22/12/2018);20180111184;-;INDEFERIDO
2;CIV1101;GEOLOGIA AMBIENTAL;1;3060504-2;35T56;20150121036;7.10;APROVADO
2;ECT2413;MECÂNICA DOS FLUIDOS;3;3068002-8,2524058-9;46N34 (30/07/2018 - 22/12/2018);2014085184;0.80;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2104;QUÍMICA GERAL;01B;2276334-3;2M34  25T34 (30/07/2018 - 22/12/2018);20170137875;-;INDEFERIDO
2;ECT2403;FÍSICA EXPERIMENTAL II;02A;1330358-1;3T234 (13/08/2018 - 10/11/2018);2014075105;-;CANCELADO
2;DEB0604;BASES CINESIOLÓGICAS DO MOVIMENTO HUMANO;1;4099026-7;56N12;2015082383;6.60;APROVADO POR NOTA
2;MEC1701;PROCESSOS DE FABRICAÇÃO MECÂNICA II;1;2613355-7;35M56 (30/07/2018 - 22/12/2018);2014085282;6.40;APROVADO POR NOTA
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;3;1673239-3;2M56 (30/07/2018 - 15/12/2018);2016013630;0.50;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;8;1879244-0;36T56 (30/07/2018 - 22/12/2018);20180031833;2.50;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;2;2998751-4;36T34 (30/07/2018 - 15/12/2018);20180135201;1.30;REPROVADO
2;DOL0049;LIMNOLOGIA;1;2412921-8;24T12;20170133277;5.90;APROVADO POR NOTA
2;ECT2301;CÁLCULO III;3;1671983-4;35T56 (30/07/2018 - 15/12/2018);20150127110;4.30;REPROVADO
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;2;1753896-5;46M56 (30/07/2018 - 22/12/2018);20160146191;4.30;CANCELADO
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;2;1753896-5;46M56 (30/07/2018 - 22/12/2018);2014085193;4.10;REPROVADO
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;5;2410576-9;46N12 (30/07/2018 - 22/12/2018);20180046317;8.30;APROVADO
2;ELE2715.1;CIRCUITOS DIGITAIS - LABORATÓRIO;2;2566657-8;2N34;2014074476;7.00;APROVADO
2;ECT2401;COMPUTAÇÃO NUMÉRICA;02A;1671947-8;246M34 (30/07/2018 - 01/12/2018);20160147377;5.80;APROVADO POR NOTA
2;ECT2103;CÁLCULO I;6;6350665-5;2356N34 (08/10/2018 - 15/12/2018);20160107442;-;INDEFERIDO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;7;2998751-4;36T12 (30/07/2018 - 22/12/2018);20180088710;0.70;REPROVADO POR MÉDIA E POR FALTAS
2;DCO1003;REDES DE COMPUTADORES;1;1804383-8;35N12;2015016815;-;INDEFERIDO
2;ECT2402;INTRODUÇÃO À FÍSICA CLÁSSICA III;3;2218079-8;24N12 (30/07/2018 - 15/12/2018);2016021032;6.90;APROVADO POR NOTA
2;ECT2412;MECÂNICA DOS SÓLIDOS;3;2087565-9,1752508-1;24T56 (30/07/2018 - 15/12/2018);20170031070;2.50;REPROVADO
2;ECT2305;PRÁTICA DE LEITURA EM INGLÊS;4;1319338-6;2N12 (30/07/2018 - 15/12/2018);20170115500;6.50;APROVADO POR NOTA
2;ECT2307;FÍSICA EXPERIMENTAL I;07A;1330358-1;6M234 (13/08/2018 - 24/11/2018);20170035211;6.70;APROVADO POR NOTA
2;ECT1552;INSTITUIÇÕES E SERVIÇOS TECNOLÓGICOS;1;2410576-9;46T56 (30/07/2018 - 22/12/2018);20150127540;0.00;CANCELADO
2;ECT2415;EQUAÇÕES DIFERENCIAIS;3;2141197-4;24T56 (30/07/2018 - 15/12/2018);2014097381;6.10;APROVADO POR NOTA
2;CIV1101;GEOLOGIA AMBIENTAL;1;3060504-2;35T56;2014066240;5.30;APROVADO POR NOTA
2;ECT2307;FÍSICA EXPERIMENTAL I;15A;1801831-1;5T234 (06/08/2018 - 16/11/2018);2016097587;-;INDEFERIDO
2;MEC1702;MECANICA DOS FLUIDOS II;2;2654020-9;46N34 (30/07/2018 - 22/12/2018);2014066939;-;INDEFERIDO
2;ECT2306;MEIO AMBIENTE E DESENVOLVIMENTO URBANO;3;1672409-9;24N34 (30/07/2018 - 15/12/2018);20160142871;6.30;APROVADO POR NOTA
2;ECT2414;ELETRICIDADE APLICADA;03B;1658061-5;3T56  46N12 (30/07/2018 - 16/09/2018),  46N12 (17/09/2018 - 01/12/2018);2014057116;4.30;REPROVADO
2;CIV0106;TOPOGRAFIA;2;1012116-3;6T1234;2012923780;6.70;APROVADO POR NOTA
2;ECT2303;LINGUAGEM DE PROGRAMAÇÃO;05B;1170845-1,4687943-1;6T56  35N12 (30/07/2018 - 22/12/2018);20170137900;-;INDEFERIDO
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;5;2410576-9;46N12 (30/07/2018 - 22/12/2018);20170042270;5.20;APROVADO POR NOTA
2;MEC1601;PROCESSOS DE FABRICAÇÃO MECÂNICA I;2;3078532-6,2550377-6,2342188-8;5N12 6N34 (30/07/2018 - 22/12/2018);2016014717;8.80;APROVADO
2;ECT2306;MEIO AMBIENTE E DESENVOLVIMENTO URBANO;4;1674419-7,1717461-1;24N12 (30/07/2018 - 15/12/2018);20180148442;9.00;APROVADO
2;ECT2207;PROBABILIDADE E ESTATÍSTICA;1;1756325-1;35M34 (30/07/2018 - 15/12/2018);2016016598;0.50;CANCELADO
2;MEC1610;ELEMENTOS DE AUTOMAÇÃO INDUSTRIAL;1;3030693-2;35T12 (30/07/2018 - 15/12/2018);2015015451;5.00;APROVADO POR NOTA
2;ECT2416;EXPRESSÃO GRÁFICA;03B;2321426-2;2N1234 (30/07/2018 - 03/11/2018),  7T1234 (04/11/2018 - 22/12/2018);20150126669;6.90;APROVADO POR NOTA
2;ECT2303;LINGUAGEM DE PROGRAMAÇÃO;02D;1845280-1,3193556-9,4687943-1;5M56  46T12 (30/07/2018 - 22/12/2018);20180001306;6.00;APROVADO POR NOTA
2;MEC1505;CAD PARA ENGENHARIA I;4;3357809-7;35T12 (30/07/2018 - 22/12/2018);2015013733;-;INDEFERIDO
2;ECO1011;HISTÓRIA ECONÔMICA GERAL I;1;3060386-4;24M34;20160108181;-;INDEFERIDO
2;ECT2411;CIÊNCIA E TECNOLOGIA DOS MATERIAIS;02D;3057895-9,1718775-5;35T34 (30/07/2018 - 09/09/2018),  356T34 (10/09/2018 - 27/10/2018),  35T34 (28/10/2018 - 01/12/2018);20160108744;-;INDEFERIDO
2;ECT2412;MECÂNICA DOS SÓLIDOS;3;1752508-1,2087565-9;24T56 (30/07/2018 - 15/12/2018);2016022254;1.80;REPROVADO
2;ECT1550;POLÍTICAS DE GESTÃO EM CIÊNCIA, TECNOLOGIA E INOVAÇÃO;2;1753896-5;46M34 (30/07/2018 - 22/12/2018);2015019432;8.10;APROVADO
2;ECT2202;ÁLGEBRA LINEAR;1;1680333-9;35M56 (30/07/2018 - 15/12/2018);2016097344;1.50;REPROVADO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;3;1808127-6;46M12 (30/07/2018 - 22/12/2018);20170139243;-;INDEFERIDO
2;MEC1601;PROCESSOS DE FABRICAÇÃO MECÂNICA I;1;2613355-7;35T34 (30/07/2018 - 22/12/2018);20150125151;8.20;APROVADO
2;ECT2207;PROBABILIDADE E ESTATÍSTICA;2;1894891-1;35M56 (30/07/2018 - 15/12/2018);2016017290;-;INDEFERIDO
2;ECT2303;LINGUAGEM DE PROGRAMAÇÃO;05D;1170845-1,4687943-1;7T34  35N12 (30/07/2018 - 22/12/2018);2016014430;1.00;REPROVADO
2;ECT2414;ELETRICIDADE APLICADA;02A;1807863-1,1658061-5;2T34 35T56 (30/07/2018 - 16/09/2018),  35T56 (17/09/2018 - 01/12/2018);2016019778;6.90;APROVADO POR NOTA
2;ECT2701;INTERNET DAS COISAS;1;1763991-5;3T12 (30/07/2018 - 22/12/2018);2011011187;-;INDEFERIDO
2;ECT2104;QUÍMICA GERAL;04A;2275848-0,1255011-8;7M12  25N34 (30/07/2018 - 22/12/2018);2015095695;-;INDEFERIDO
2;ECT2412;MECÂNICA DOS SÓLIDOS;3;2087565-9,1752508-1;24T56 (30/07/2018 - 15/12/2018);20160108682;6.10;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;7;3550015-0;2356T34 (30/07/2018 - 05/10/2018);20170138783;0.60;REPROVADO
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;5;3891450-8;2N34 (30/07/2018 - 15/12/2018);20160143823;6.50;APROVADO POR NOTA
2;ECT2103;CÁLCULO I;8;2565098-1;46T56 (30/07/2018 - 22/12/2018);20180029737;-;INDEFERIDO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;6;3891450-8;4N12 (30/07/2018 - 15/12/2018);20170139477;2.90;REPROVADO POR MÉDIA E POR FALTAS
2;DEF0651;ATIVIDADE FISICA, LAZER E CULTURA;5;347294-1;24M56;2016015115;8.00;APROVADO
2;ECT2104;QUÍMICA GERAL;06A;1255011-8;7M56  25N12 (30/07/2018 - 22/12/2018);20180093012;-;INDEFERIDO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (30/07/2018 - 15/12/2018);20170117504;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2101;PRÉ-CÁLCULO;7;3550015-0;2356T34 (30/07/2018 - 05/10/2018);20180089637;1.70;REPROVADO
2;ECT2303;LINGUAGEM DE PROGRAMAÇÃO;05A;4687943-1,1170845-1;6T34  35N12 (30/07/2018 - 22/12/2018);20170036872;-;INDEFERIDO
2;ECT2305;PRÁTICA DE LEITURA EM INGLÊS;1;1319338-6;2T12 (30/07/2018 - 15/12/2018);20170137991;5.40;APROVADO POR NOTA
2;DEB0605;BIOMECÂNICA DO MOVIMENTO HUMANO;1;1510735-5;24N12;2015082383;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;2;1648476-4;46M34 (30/07/2018 - 22/12/2018);20170041630;0.00;CANCELADO
2;ECT2307;FÍSICA EXPERIMENTAL I;16A;1801831-1;6T234 (06/08/2018 - 16/11/2018);20170102735;5.80;APROVADO POR NOTA
2;CIV1105;ECOLOGIA APLICADA À ENGENHARIA AMBIENTAL;1;1177742-9;24T34;2013063834;7.60;APROVADO
2;ELE2715.0;CIRCUITOS DIGITAIS - TEORIA;1;2566657-8;2T56;2015019951;5.20;APROVADO POR NOTA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;7;2998751-4;36T12 (30/07/2018 - 22/12/2018);20170137991;0.00;REPROVADO
2;MEC1602;SISTEMAS TÉRMICOS II;1;1770049-5;46T34 (30/07/2018 - 22/12/2018);2015012718;5.60;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;2;1753234-7;2356T12 (30/07/2018 - 05/10/2018);20170138460;5.50;APROVADO POR NOTA
2;MEC1506;METALOGRAFIA E TRATAMENTOS TÉRMICOS;2;2550377-6,3078532-6,2342188-8;2N34 6N12 (30/07/2018 - 15/12/2018);20180001360;7.70;APROVADO
