UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE
SISTEMA INTEGRADO DE GESTÃO DE ATIVIDADES ACADÊMICAS
RELATÓRIO DE NOTAS SEMESTRAIS
CURSO;CIÊNCIAS E TECNOLOGIA/ECT - NATAL - BACHARELADO
ANO;2015

Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação;
2;ECT2101;PRÉ-CÁLCULO;05;2111020-6;2356N12 (27/07/2015 - 29/09/2015);20150139872;8.60;APROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;05;1674079-5;26N34 (27/07/2015 - 19/12/2015);20150139872;6.30;APROVADO POR NOTA;
2;ECT2103;CÁLCULO I;05;2111020-6;2356N12 (05/10/2015 - 19/12/2015);20150139872;7.30;APROVADO;
2;ECT2104;QUÍMICA GERAL;03A;1036401-5;5T56  35N34 (27/07/2015 - 19/12/2015);20150139872;5.60;APROVADO POR NOTA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1673239-3;4N12 (27/07/2015 - 19/12/2015);20150139872;7.40;APROVADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1987942-5;4N34 (27/07/2015 - 19/12/2015);20150139872;6.80;APROVADO POR NOTA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150139890;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150139890;5.40;APROVADO POR NOTA;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150139890;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150139890;5.60;APROVADO POR NOTA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150139890;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150139890;0.00;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150139916;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150139916;-;DESISTENCIA;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150139916;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150139916;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150139916;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150139916;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150139934;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150139934;-;DESISTENCIA;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150139934;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150139934;6.80;APROVADO POR NOTA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150139934;7.00;APROVADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150139934;5.90;APROVADO POR NOTA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150139952;3.30;REPROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150139952;-;TRANCADO;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150139952;0.00;REPROVADO;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150139952;-;TRANCADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150139952;7.40;APROVADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150139952;5.00;APROVADO POR NOTA;
2;ECT2101;PRÉ-CÁLCULO;05;2111020-6;2356N12 (27/07/2015 - 29/09/2015);20150139970;9.70;APROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;05;1674079-5;26N34 (27/07/2015 - 19/12/2015);20150139970;1.10;REPROVADO;
2;ECT2103;CÁLCULO I;05;2111020-6;2356N12 (05/10/2015 - 19/12/2015);20150139970;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;03A;1036401-5;5T56  35N34 (27/07/2015 - 19/12/2015);20150139970;2.10;REPROVADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1673239-3;4N12 (27/07/2015 - 19/12/2015);20150139970;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1987942-5;4N34 (27/07/2015 - 19/12/2015);20150139970;6.20;APROVADO POR NOTA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150139999;3.60;REPROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150139999;1.80;REPROVADO;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150139999;0.30;REPROVADO;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150139999;3.50;REPROVADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150139999;7.20;APROVADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150139999;6.40;APROVADO POR NOTA;
2;ECT2101;PRÉ-CÁLCULO;05;2111020-6;2356N12 (27/07/2015 - 29/09/2015);20150140031;0.00;REPROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;05;1674079-5;26N34 (27/07/2015 - 19/12/2015);20150140031;-;TRANCADO;
2;ECT2103;CÁLCULO I;05;2111020-6;2356N12 (05/10/2015 - 19/12/2015);20150140031;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;03A;1036401-5;5T56  35N34 (27/07/2015 - 19/12/2015);20150140031;-;TRANCADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1673239-3;4N12 (27/07/2015 - 19/12/2015);20150140031;-;TRANCADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1987942-5;4N34 (27/07/2015 - 19/12/2015);20150140031;-;TRANCADO;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150140111;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150140111;3.20;REPROVADO;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150140111;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150140111;5.60;APROVADO POR NOTA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150140111;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150140111;5.50;APROVADO POR NOTA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150140130;4.40;REPROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150140130;1.10;REPROVADO;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150140130;-;TRANCADO;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150140130;3.10;REPROVADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150140130;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150140130;1.40;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150140158;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150140158;3.00;CANCELADO;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150140158;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150140158;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150140158;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150140158;0.00;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150140194;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150140194;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150140194;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150140194;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150140194;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150140194;8.60;APROVADO;
2;ECT2101;PRÉ-CÁLCULO;05;2111020-6;2356N12 (27/07/2015 - 29/09/2015);20150140210;3.00;REPROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;05;1674079-5;26N34 (27/07/2015 - 19/12/2015);20150140210;0.40;REPROVADO;
2;ECT2103;CÁLCULO I;05;2111020-6;2356N12 (05/10/2015 - 19/12/2015);20150140210;0.00;REPROVADO;
2;ECT2104;QUÍMICA GERAL;03A;1036401-5;5T56  35N34 (27/07/2015 - 19/12/2015);20150140210;0.00;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1673239-3;4N12 (27/07/2015 - 19/12/2015);20150140210;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1987942-5;4N34 (27/07/2015 - 19/12/2015);20150140210;-;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150140238;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150140238;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150140238;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150140238;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150140238;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150140238;6.60;APROVADO POR NOTA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150140256;6.90;APROVADO POR NOTA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150140256;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150140256;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150140256;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150140256;7.20;APROVADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150140256;-;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;05;2111020-6;2356N12 (27/07/2015 - 29/09/2015);20150140274;5.70;APROVADO POR NOTA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;05;1674079-5;26N34 (27/07/2015 - 19/12/2015);20150140274;3.10;REPROVADO;
2;ECT2103;CÁLCULO I;05;2111020-6;2356N12 (05/10/2015 - 19/12/2015);20150140274;0.00;REPROVADO;
2;ECT2104;QUÍMICA GERAL;03A;1036401-5;5T56  35N34 (27/07/2015 - 19/12/2015);20150140274;-;TRANCADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1673239-3;4N12 (27/07/2015 - 19/12/2015);20150140274;6.70;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1987942-5;4N34 (27/07/2015 - 19/12/2015);20150140274;7.40;APROVADO;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150140354;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150140354;-;TRANCADO;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150140354;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150140354;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150140354;5.20;APROVADO POR NOTA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150140354;0.90;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2101;PRÉ-CÁLCULO;05;2111020-6;2356N12 (27/07/2015 - 29/09/2015);20150140416;0.00;REPROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;05;1674079-5;26N34 (27/07/2015 - 19/12/2015);20150140416;0.00;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2103;CÁLCULO I;05;2111020-6;2356N12 (05/10/2015 - 19/12/2015);20150140416;0.00;REPROVADO;
2;ECT2104;QUÍMICA GERAL;03A;1036401-5;5T56  35N34 (27/07/2015 - 19/12/2015);20150140416;0.00;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;1673239-3;4N12 (27/07/2015 - 19/12/2015);20150140416;0.00;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1987942-5;4N34 (27/07/2015 - 19/12/2015);20150140416;0.00;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150140499;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150140499;-;TRANCADO;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150140499;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150140499;-;TRANCADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150140499;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1987942-5;4T34 (27/07/2015 - 19/12/2015);20150140499;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;01;1091102-4;2356T12 (27/07/2015 - 29/09/2015);20150140514;7.30;APROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;35T56 (27/07/2015 - 19/12/2015);20150140514;4.40;REPROVADO;
2;ECT2103;CÁLCULO I;01;1672787-0;2356T12 (05/10/2015 - 19/12/2015);20150140514;5.00;APROVADO POR NOTA;
2;ECT2104;QUÍMICA GERAL;02A;1481705-7;3M12  35T34 (27/07/2015 - 19/12/2015);20150140514;6.00;APROVADO POR NOTA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;1319338-6;4T56 (27/07/2015 - 19/12/2015);20150140514;-;TRANCADO;
