,matricula,situacao,ano,turma
59,2013064036,REPROVADO,2017.2,05B
64,2016011279,APROVADO POR NOTA,2017.2,05B
106,20170031670,REPROVADO,2017.2,05B
113,2016099222,APROVADO POR NOTA,2017.2,05B
118,20170042270,APROVADO POR NOTA,2017.2,05B
137,20150127835,REPROVADO,2017.2,05B
142,20160143814,REPROVADO,2017.2,05B
150,20170039598,REPROVADO,2017.2,05B
160,2016022530,REPROVADO,2017.2,05B
192,2016015993,REPROVADO,2017.2,05B
244,20160143627,REPROVADO,2017.2,05B
280,20170038670,APROVADO POR NOTA,2017.2,05B
282,20170146918,REPROVADO,2017.2,05B
313,20170107455,APROVADO,2017.2,05B
372,20160143387,REPROVADO,2017.2,05B
378,20170034054,APROVADO,2017.2,05B
384,20160158503,REPROVADO,2017.2,05B
385,20170037637,APROVADO,2017.2,05B
394,20160142352,REPROVADO,2017.2,05B
398,20170044490,APROVADO POR NOTA,2017.2,05B
404,20160108000,REPROVADO,2017.2,05B
405,2016015699,REPROVADO,2017.2,05B
408,20170035919,REPROVADO,2017.2,05B
411,20160107980,REPROVADO POR NOTA,2017.2,05B
414,20160142530,APROVADO POR NOTA,2017.2,05B
420,20170153233,REPROVADO,2017.2,05B
426,2016010478,REPROVADO,2017.2,05B
