,matricula,situacao,ano,turma
0,20160143171,REPROVADO,2018.1,05C
1,20150125394,APROVADO POR NOTA,2018.1,05C
2,20160107569,REPROVADO,2018.1,05C
3,20170115706,APROVADO,2018.1,05C
4,20170115887,APROVADO POR NOTA,2018.1,05C
5,20170115582,REPROVADO,2018.1,05C
6,20170118388,APROVADO POR NOTA,2018.1,05C
7,20170138110,APROVADO POR NOTA,2018.1,05C
8,2016093120,REPROVADO,2018.1,05C
9,20170035258,APROVADO,2018.1,05C
10,20170039337,APROVADO POR NOTA,2018.1,05C
11,20170036854,REPROVADO,2018.1,05C
12,20160143841,REPROVADO,2018.1,05C
13,20170002490,APROVADO POR NOTA,2018.1,05C
14,20170117246,APROVADO,2018.1,05C
15,2016022497,REPROVADO,2018.1,05C
16,20170031894,REPROVADO,2018.1,05C
17,20170043151,REPROVADO,2018.1,05C
18,20170138317,APROVADO POR NOTA,2018.1,05C
19,20170139252,REPROVADO,2018.1,05C
20,20170117442,REPROVADO,2018.1,05C
21,20170139397,REPROVADO,2018.1,05C
22,20160146861,REPROVADO,2018.1,05C
23,20170117747,APROVADO,2018.1,05C
24,20160143770,REPROVADO,2018.1,05C
25,20170045058,APROVADO POR NOTA,2018.1,05C
26,20170040516,REPROVADO,2018.1,05C
27,20170117863,APROVADO,2018.1,05C
28,20170044112,REPROVADO,2018.1,05C
29,20170147334,APROVADO,2018.1,02D
30,20170147488,REPROVADO,2018.1,02D
31,20170044810,REPROVADO,2018.1,02D
32,20170040650,APROVADO POR NOTA,2018.1,02D
33,20170032013,APROVADO,2018.1,02D
34,20170115680,APROVADO,2018.1,02D
35,20170043492,APROVADO,2018.1,02D
36,20170137919,APROVADO,2018.1,02D
37,2016012795,APROVADO,2018.1,02D
38,2016012759,APROVADO POR NOTA,2018.1,02D
39,2016022110,APROVADO POR NOTA,2018.1,02D
40,20170042815,APROVADO,2018.1,02D
41,20170030959,APROVADO,2018.1,02D
42,20170138630,REPROVADO,2018.1,02D
43,2016097620,APROVADO,2018.1,02D
44,20170033558,REPROVADO,2018.1,02D
45,20170037350,REPROVADO,2018.1,02D
46,20170183297,REPROVADO,2018.1,02D
47,20170183260,APROVADO,2018.1,01B
48,20170116768,APROVADO,2018.1,01B
49,20170031132,APROVADO,2018.1,01B
50,20170138611,APROVADO POR NOTA,2018.1,01B
51,20170137660,APROVADO,2018.1,01B
52,20170115260,APROVADO,2018.1,01B
53,20170138326,APROVADO,2018.1,01B
54,20170138228,APROVADO POR NOTA,2018.1,01B
55,20170114683,APROVADO,2018.1,01B
56,20170137946,APROVADO POR NOTA,2018.1,01B
57,20170137893,APROVADO POR NOTA,2018.1,01B
58,20170117587,REPROVADO,2018.1,01B
59,20170147399,REPROVADO,2018.1,01B
60,20170115564,APROVADO,2018.1,01B
61,20170137740,APROVADO POR NOTA,2018.1,01B
62,20170030879,APROVADO POR NOTA,2018.1,01B
63,20170116605,APROVADO POR NOTA,2018.1,01B
64,20170117907,APROVADO,2018.1,01B
65,20170040418,APROVADO,2018.1,01B
