,ano,turma,matricula,nota,situacao
0,2017.2,04B,20170031910,1.8,REPROVADO
1,2017.2,04B,2015013555,0.4,REPROVADO
2,2017.2,04B,2015012431,6.5,APROVADO POR NOTA
3,2017.2,04B,20160107569,0.0,REPROVADO
4,2017.2,04B,20170042735,7.7,APROVADO
5,2017.2,04B,20170010670,9.3,APROVADO
6,2017.2,04B,20170040955,7.8,APROVADO
7,2017.2,04B,20170003559,5.7,APROVADO POR NOTA
8,2017.2,04B,20170038812,9.2,APROVADO
9,2017.2,04B,20170037575,5.1,APROVADO POR NOTA
10,2017.2,04B,20160130567,0.0,REPROVADO
11,2017.2,04B,20170035570,0.3,REPROVADO
12,2017.2,04B,20170040919,8.7,APROVADO
13,2017.2,03C,2014085086,3.0,REPROVADO
14,2017.2,03C,20160132220,3.0,REPROVADO
15,2017.2,03C,20170036578,7.6,APROVADO
16,2017.2,03C,20160142497,3.0,REPROVADO
17,2017.2,03C,20170037379,1.5,REPROVADO
18,2017.2,03C,2016097101,5.0,APROVADO POR NOTA
19,2017.2,03C,20160108520,0.0,REPROVADO
20,2017.2,03C,20160107184,7.2,APROVADO
21,2017.2,03C,20160142011,0.0,REPROVADO POR MÉDIA E POR FALTAS
22,2017.2,03C,20170037790,7.6,APROVADO
23,2017.2,03C,2015001788,5.0,APROVADO POR NOTA
24,2017.2,03C,20160141847,2.2,REPROVADO
25,2017.2,03C,20170040356,1.7,REPROVADO
26,2017.2,03C,2015001124,0.3,REPROVADO
27,2017.2,03C,20160142441,7.0,APROVADO
28,2017.2,03C,20160158076,5.4,APROVADO POR NOTA
29,2017.2,03C,20170042931,5.4,APROVADO POR NOTA
30,2017.2,03C,2015017410,0.0,REPROVADO POR MÉDIA E POR FALTAS
31,2017.2,01B,20170030690,5.2,APROVADO POR NOTA
32,2017.2,01B,20170033772,10.0,APROVADO
33,2017.2,01B,20170035310,6.6,APROVADO POR NOTA
34,2017.2,01B,20170038133,0.2,REPROVADO
35,2017.2,01B,20170038699,5.8,APROVADO POR NOTA
36,2017.2,01B,20170033057,7.1,APROVADO
37,2017.2,01B,20170001812,9.2,APROVADO
38,2017.2,01B,20170043133,9.3,APROVADO
39,2017.2,01B,20170034976,8.8,APROVADO
40,2017.2,01B,20170035632,7.0,APROVADO
41,2017.2,01B,20170033478,6.5,APROVADO POR NOTA
42,2017.2,01B,20170033093,9.8,APROVADO
43,2017.2,01B,20170035356,9.5,APROVADO
44,2017.2,01B,20170038311,7.0,APROVADO
45,2017.2,01B,20170102735,7.6,APROVADO
46,2017.2,01B,20170033950,8.7,APROVADO
47,2017.2,01B,20170030832,9.9,APROVADO
48,2017.2,01B,20170031393,1.7,REPROVADO
49,2017.2,01B,20170041219,7.1,APROVADO
50,2017.2,01B,20170043590,5.0,APROVADO POR NOTA
51,2017.2,01B,20170038993,9.1,APROVADO
52,2017.2,01B,20170035211,8.3,APROVADO
53,2017.2,01B,20170043394,7.4,APROVADO
54,2017.2,01B,2014096268,0.0,REPROVADO POR MÉDIA E POR FALTAS
55,2017.2,01B,20170031419,9.4,APROVADO
56,2017.2,01B,20170099110,6.8,APROVADO POR NOTA
57,2017.2,01B,20170038394,6.3,APROVADO POR NOTA
58,2017.2,01B,2015014276,0.0,REPROVADO POR MÉDIA E POR FALTAS
59,2017.2,01B,20160143251,4.6,REPROVADO
60,2017.2,04C,20160146235,0.3,REPROVADO
61,2017.2,04C,2014098502,8.4,APROVADO
62,2017.2,04C,20170037833,9.0,APROVADO
63,2017.2,04C,20170031974,8.2,APROVADO
64,2017.2,04C,2015091210,0.3,REPROVADO
65,2017.2,04C,20170032757,9.3,APROVADO
66,2017.2,04C,20170039337,2.9,REPROVADO
67,2017.2,04C,20170031778,0.4,REPROVADO
68,2017.2,04C,20170044533,0.0,REPROVADO
69,2017.2,04C,20170032210,0.4,REPROVADO
70,2017.2,04C,20170045058,0.8,REPROVADO
71,2017.2,04C,20170039079,0.6,REPROVADO
72,2017.2,04C,20170040777,0.8,REPROVADO
73,2017.2,04C,20160153599,6.0,APROVADO POR NOTA
74,2017.2,04C,20170031277,1.7,REPROVADO
75,2017.2,04C,20170101890,5.0,APROVADO POR NOTA
76,2017.2,04C,20170036890,8.9,APROVADO
77,2017.2,04C,20160141730,6.6,APROVADO POR NOTA
78,2017.2,04A,20170040712,9.3,APROVADO
79,2017.2,04A,20170037477,0.0,REPROVADO
80,2017.2,04A,20170041836,8.5,APROVADO
81,2017.2,04A,2016012919,5.8,APROVADO POR NOTA
82,2017.2,04A,20170035196,5.7,APROVADO POR NOTA
83,2017.2,04A,2016096445,7.5,APROVADO
84,2017.2,04A,20170041077,7.9,APROVADO
85,2017.2,04A,20170039490,6.8,APROVADO POR NOTA
86,2017.2,04A,20170037539,2.0,REPROVADO
87,2017.2,04A,20170031590,8.7,APROVADO
88,2017.2,04A,20170042619,7.2,APROVADO
89,2017.2,04A,20170031375,9.5,APROVADO
90,2017.2,04A,20170032372,0.3,REPROVADO
91,2017.2,04A,20170034475,9.7,APROVADO
92,2017.2,04A,20170031099,8.3,APROVADO
93,2017.2,02C,20160111060,1.7,REPROVADO
94,2017.2,02C,20170030799,9.0,APROVADO
95,2017.2,02C,20170030458,7.8,APROVADO
96,2017.2,02C,20170034072,8.8,APROVADO
97,2017.2,02C,20170033899,8.3,APROVADO
98,2017.2,02C,20170033511,8.3,APROVADO
99,2017.2,02C,2015007932,4.2,REPROVADO
100,2017.2,02C,20170031034,6.6,APROVADO POR NOTA
101,2017.2,02C,20170031070,8.7,APROVADO
102,2017.2,02C,2015094491,7.0,APROVADO
103,2017.2,02C,20170031876,8.0,APROVADO
104,2017.2,02C,20160142085,3.6,REPROVADO
105,2017.2,02C,20170030995,1.4,REPROVADO
106,2017.2,02C,20170033638,5.3,REPROVADO POR NOTA
107,2017.2,02C,20170041792,1.9,REPROVADO
108,2017.2,02C,20170035113,9.3,APROVADO
109,2017.2,02C,2015007960,5.9,APROVADO POR NOTA
110,2017.2,02C,20170030959,2.7,REPROVADO
111,2017.2,02C,20170030734,5.8,APROVADO POR NOTA
112,2017.2,02C,20170031197,1.0,REPROVADO
113,2017.2,02C,20170034457,7.4,APROVADO
114,2017.2,02C,20170032078,10.0,APROVADO
115,2017.2,02C,20170036059,2.7,REPROVADO
116,2017.2,02C,20170095176,8.4,APROVADO
117,2017.2,01C,20170003414,7.2,APROVADO
118,2017.2,01C,20170030494,1.0,REPROVADO
119,2017.2,01C,20170030476,8.8,APROVADO
120,2017.2,01C,20170034519,5.8,APROVADO POR NOTA
121,2017.2,01C,20170042154,8.9,APROVADO
122,2017.2,01C,2016091467,0.5,REPROVADO
123,2017.2,01C,20170032935,8.5,APROVADO
124,2017.2,01C,20160107881,0.0,REPROVADO
125,2017.2,01C,20170032013,0.0,REPROVADO POR MÉDIA E POR FALTAS
126,2017.2,01C,20170030618,9.8,APROVADO
127,2017.2,01C,2015007950,6.0,APROVADO POR NOTA
128,2017.2,01C,2016012454,0.0,REPROVADO
